Application Name, Application Label, Group ID, Role, SAML Role
amazon_aws,AW-PRO-IT-ECT-BOX-FEB-16,00g3c97p2uevcFwiG2p7,Flex-Box_ESO_Unix-L2_Ops,Flex-Box_ESO_Unix-L2_Ops
amazon_aws,AW-PRO-IT-ECT-BOX-FEB-16,00g9s16ba1Qm23E9o2p7,Flex_BOx_ReadOnly,Flex_BOx_ReadOnly
amazon_aws,AW-PRO-IT-ECT-BOX-FEB-16,00g9wo2ycydr8GFtP2p7,ESO_CVT_CloudOps,ESO_CVT_CloudOps
amazon_aws,AW-PRO-IT-GSD-COMP_SERVICE-MAY-15,00g4hicci0TZ2zF7q0x7,CompServices_Admin,CompServices_Admin
amazon_aws,AW-PRO-IT-GSD-COMP_SERVICE-MAY-15,00g9s16ba1Qm23E9o2p7,CompServices_ReadOnly,CompServices_ReadOnly
amazon_aws,AW-PRO-ENR-ENR-ENERGY_MATTERS-NOV-09,00g4hicci0TZ2zF7q0x7,aws-elasticbeanstalk-ec2-role,AWS_Full_Access
amazon_aws,AW-PRO-ENR-ENR-ENERGY_MATTERS-NOV-09,00g21mjv1jFHENBWC2p7,AWS_ReadOnly_Access,AWS_ReadOnly_Access
amazon_aws,AW-PRO-ENR-ENR-ENERGY_MATTERS-NOV-09,00g9s16ba1Qm23E9o2p7,AWS_ReadOnly_Access,AWS_ReadOnly_Access
amazon_aws,AW-PRO-ENR-ENR-FLEX_LIVING-SEP-12,00g4hicci0TZ2zF7q0x7,AWSServiceRoleForEMRCleanup,Flex_Full_Access
amazon_aws,AW-PRO-ENR-ENR-FLEX_LIVING-SEP-12,00g21mjv1jFHENBWC2p7,CloudHealthRole,Flex_Living_ReandOnly
amazon_aws,AW-PRO-ENR-ENR-FLEX_LIVING-SEP-12,00g9s16ba1Qm23E9o2p7,Flex_Living_ReandOnly,Flex_Living_ReandOnly
amazon_aws,AW-PRO-IT-GSD-FLEX_LINK-JUL-15,00g4hicci0TZ2zF7q0x7,FlexLink_Admin,FlexLink_Admin
amazon_aws,AW-PRO-IT-GSD-FLEX_LINK-JUL-15,00g21mjv1jFHENBWC2p7,AWSServiceRoleForOrganizations,FlexLink_ReadyOnly
amazon_aws,AW-PRO-IT-GSD-FLEX_LINK-JUL-15,00g4kyrbdx8MaAO972p7,AWSServiceRoleForOrganizations,FlexLink_SES_Full
amazon_aws,AW-PRO-IT-GSD-FLEX_LINK-JUL-15,00g4kyrbdx8MaAO972p7,AWSServiceRoleForOrganizations,FlexLink_SES_ReadOnly
